yy;anom.originale;anom
1961;-0.67;-0.67
1962;-1.7;-1.7
1963;-3.79;-3.79
1964;0.69;0.69
1965;0.18;0.18
1966;-1.12;-1.12
1967;-1.04;-1.04
1968;-2.48;-2.48
1969;0.11;0.11
1970;0.37;0.37
1971;-1.53;-1.53
1972;2.03;2.03
1973;0.04;0.04
1974;3.28;3.28
1975;1.98;1.98
1976;0.75;0.75
1977;2.27;2.27
1978;0.82;0.82
1979;-1.79;-1.79
1980;-0.16;-0.16
1981;-1.33;-1.33
1982;1.4;1.4
1983;0.71;0.71
1984;0.56;0.56
1985;-3.59;-3.59
1986;-1.42;-1.42
1987;-1.34;-1.34
1988;0.52;0.52
1989;2.8;2.8
1990;2.22;2.22
1991;-1.31;-1.31
1992;0.92;0.92
1993;-1;-1
1994;1.43;1.43
1995;0.65;0.65
1996;-2.12;-2.12
1997;3.14;3.14
1998;1.44;1.44
1999;-0.68;-0.68
2000;1.44;1.44
2001;0.38;0.38
2002;1.07;1.07
2003;0.74;0.74
2004;0.64;0.64
2005;-0.67;-0.67
2006;0.31;0.31
2007;1.6;1.6
2008;1.26;1.26
2009;-0.25;-0.25
2010;-0.19;-0.19
2011;1.52;1.52
2012;-1.4;-1.4
2013;1.73;1.73
2014;0.3;0.3
2015;3.12;3.12
2016;2.21;2.21
2017;-0.82;-0.82
2018;-0.24;-0.24
2019;1.07;1.07
2020;3.43;3.43
