yy;anomAnnualePesata;anomAnnuale
1961;0.8856526162724995;0.9031257348770025
1962;-0.07084604925224455;-0.07488567855717024
1963;-0.476731153233524;-0.48672754210261826
1964;0.04584339606608112;0.052410077385113094
1965;-0.37214492903574076;-0.38966808323891017
1966;0.007744704112107913;0.029987265123845207
1967;0.33866008491193916;0.3306737302564138
1968;-0.10616212876122548;-0.09832281923595272
1969;-0.39821729085753305;-0.4047528322214061
1970;0.036367623511593256;0.04218972264319855
1971;-0.034802619273603536;-0.03715702111752956
1972;-0.5242236662737537;-0.5200846160887749
1973;0.007714492403004377;0.00471309502962811
1974;-0.07826168650735962;-0.0742659138533014
1975;0.0886584482012526;0.08731685767128688
1976;-0.47787696289105647;-0.47360348275458186
1977;0.016683943769985544;0.024364113495043156
1978;-0.5967990441403497;-0.5981279626386101
1979;-0.2571622102220112;-0.2576448808545427
1980;-0.8148670734085725;-0.8049672235065338
1981;-0.1253883905794292;-0.1288952386448419
1982;0.49145426080977417;0.4864637939796141
1983;0.3937545678655426;0.3743297413116798
1984;-0.5864867201217809;-0.590408629209435
1985;0.26041144373298625;0.25804152936888824
1986;0.1416073605500686;0.11883157302461339
1987;0.1885632418158828;0.1917816988268157
1988;0.5670148016614691;0.5580631652067712
1989;0.5456821591173415;0.5483113705534493
1990;0.8601063469506639;0.8735173278684228
1991;-0.07509498529719316;-0.08334135543687718
1992;0.6316447538029253;0.630954141074352
1993;0.5566249802600952;0.5498343264877497
1994;1.3285306501835865;1.3086918680135948
1995;0.23344658841210267;0.2403941241211656
1996;-0.13672014986889858;-0.1400132247775589
1997;1.0222678706237238;1.0256093124569206
1998;0.8581663342465564;0.8709556757155736
1999;0.8790999659755127;0.8671672149324328
2000;1.3072263969723654;1.3087055901411058
2001;1.2192465926565703;1.2096737779935154
2002;1.0599134045833936;1.0701805979127827
2003;1.6606012031364783;1.6322861993645352
2004;0.7071826779293332;0.7070350624864892
2005;0.32469274404805026;0.3070681120802965
2006;1.2329522340932082;1.227118688703328
2007;1.5907197341675032;1.5954118085415194
2008;1.267448784783079;1.263734065740144
2009;1.3273676316173149;1.313593425512698
2010;0.36460425409306624;0.3642642993261004
2011;1.6830886689139912;1.6859293033356344
2012;1.654705896747194;1.6351464997983467
2013;0.9964462030658698;0.9794432341358695
2014;1.5296743178940355;1.5387928050062023
2015;1.841994766308776;1.8249104303661015
2016;1.4820922605203681;1.4894019514848622
2017;1.798094042827351;1.7954118554681477
2018;1.6243461500929275;1.6021132064254069
2019;1.7398721957684127;1.7469824482599987
2020;1.7493056750209315;1.7594008889382597
